cell_type	rank	neighbor	pearson_r
Adipocyte_cells	1	Adipocyte_cells_Cyp2e1	0.9377
Adipocyte_cells	2	Lymphatic_vessel_endothelial_cells	0.4289
Adipocyte_cells	3	White_blood_cells	0.3738
Adipocyte_cells	4	Lung_and_airway	0.3483
Adipocyte_cells	5	Endocardial_cells	0.3174
Adipocyte_cells_Cyp2e1	1	Adipocyte_cells	0.9377
Adipocyte_cells_Cyp2e1	2	Lymphatic_vessel_endothelial_cells	0.4508
Adipocyte_cells_Cyp2e1	3	White_blood_cells	0.4043
Adipocyte_cells_Cyp2e1	4	Lung_and_airway	0.3957
Adipocyte_cells_Cyp2e1	5	Hepatocytes	0.3687
B_cells	1	T_cells	0.8451
B_cells	2	White_blood_cells	0.7227
B_cells	3	Lymphatic_vessel_endothelial_cells	0.3130
B_cells	4	Glomerular_endothelial_cells	0.2764
B_cells	5	Liver_sinusoidal_endothelial_cells	0.2689
Brain_capillary_endothelial_cells	1	Endothelium	0.9247
Brain_capillary_endothelial_cells	2	Glomerular_endothelial_cells	0.9187
Brain_capillary_endothelial_cells	3	Endocardial_cells	0.8672
Brain_capillary_endothelial_cells	4	Liver_sinusoidal_endothelial_cells	0.8623
Brain_capillary_endothelial_cells	5	Lymphatic_vessel_endothelial_cells	0.8302
CNS_neurons	1	Neural_crest_PNS_neurons	0.8199
CNS_neurons	2	Eye	0.7008
CNS_neurons	3	Neuroectoderm_and_glia	0.6986
CNS_neurons	4	Intermediate_neuronal_progenitors	0.6184
CNS_neurons	5	Oligodendrocytes	0.4303
Cardiomyocytes	1	Skeletal_muscle_cells	0.5332
Cardiomyocytes	2	Lung_and_airway	0.4127
Cardiomyocytes	3	Epithelial_cells	0.3794
Cardiomyocytes	4	Lymphatic_vessel_endothelial_cells	0.3479
Cardiomyocytes	5	Endothelium	0.3457
Corticofugal_neurons	1	Olfactory_neurons	0.9661
Corticofugal_neurons	2	Intermediate_neuronal_progenitors	0.5487
Corticofugal_neurons	3	Oligodendrocytes	0.5249
Corticofugal_neurons	4	Melanocyte_cells	0.5016
Corticofugal_neurons	5	Glia	0.2593
Endocardial_cells	1	Glomerular_endothelial_cells	0.8801
Endocardial_cells	2	Liver_sinusoidal_endothelial_cells	0.8794
Endocardial_cells	3	Lymphatic_vessel_endothelial_cells	0.8777
Endocardial_cells	4	Brain_capillary_endothelial_cells	0.8672
Endocardial_cells	5	Endothelium	0.8471
Endothelium	1	Brain_capillary_endothelial_cells	0.9247
Endothelium	2	Glomerular_endothelial_cells	0.8907
Endothelium	3	Endocardial_cells	0.8471
Endothelium	4	Liver_sinusoidal_endothelial_cells	0.8470
Endothelium	5	Lymphatic_vessel_endothelial_cells	0.7900
Epithelial_cells	1	Lung_and_airway	0.7387
Epithelial_cells	2	Kidney	0.5728
Epithelial_cells	3	Mesoderm	0.4107
Epithelial_cells	4	Lateral_plate_and_intermediate_mesoderm	0.4028
Epithelial_cells	5	Skeletal_muscle_cells	0.3916
Erythroid_cells	1	White_blood_cells	0.3867
Erythroid_cells	2	Gut_epithelial_cells	0.2783
Erythroid_cells	3	T_cells	0.2445
Erythroid_cells	4	B_cells	0.2391
Erythroid_cells	5	Lymphatic_vessel_endothelial_cells	0.2273
Eye	1	Neuroectoderm_and_glia	0.7832
Eye	2	CNS_neurons	0.7008
Eye	3	Neural_crest_PNS_neurons	0.6216
