cell_type	rank	tf_symbol	differential	mean_signal_here	mean_signal_neighbors	neighbors
Adipocyte_cells	1	KLF15	0.0129	0.0475	0.0346	Adipocyte_cells_Cyp2e1,Lymphatic_vessel_endothelial_cells,White_blood_cells,Lung_and_airway,Endocardial_cells
Adipocyte_cells	2	CEBPB	0.0120	0.0464	0.0344	Adipocyte_cells_Cyp2e1,Lymphatic_vessel_endothelial_cells,White_blood_cells,Lung_and_airway,Endocardial_cells
Adipocyte_cells	3	NFIL3	0.0119	0.0463	0.0344	Adipocyte_cells_Cyp2e1,Lymphatic_vessel_endothelial_cells,White_blood_cells,Lung_and_airway,Endocardial_cells
Adipocyte_cells	4	KLF11	0.0114	0.0448	0.0333	Adipocyte_cells_Cyp2e1,Lymphatic_vessel_endothelial_cells,White_blood_cells,Lung_and_airway,Endocardial_cells
Adipocyte_cells	5	HSFX1	0.0110	0.0438	0.0327	Adipocyte_cells_Cyp2e1,Lymphatic_vessel_endothelial_cells,White_blood_cells,Lung_and_airway,Endocardial_cells
Adipocyte_cells	6	SOX5	0.0103	0.0406	0.0303	Adipocyte_cells_Cyp2e1,Lymphatic_vessel_endothelial_cells,White_blood_cells,Lung_and_airway,Endocardial_cells
Adipocyte_cells	7	ZNF589	0.0085	0.0439	0.0354	Adipocyte_cells_Cyp2e1,Lymphatic_vessel_endothelial_cells,White_blood_cells,Lung_and_airway,Endocardial_cells
Adipocyte_cells	8	AKAP8L	0.0064	0.0388	0.0324	Adipocyte_cells_Cyp2e1,Lymphatic_vessel_endothelial_cells,White_blood_cells,Lung_and_airway,Endocardial_cells
Adipocyte_cells	9	HLF	0.0063	0.0374	0.0311	Adipocyte_cells_Cyp2e1,Lymphatic_vessel_endothelial_cells,White_blood_cells,Lung_and_airway,Endocardial_cells
Adipocyte_cells	10	ATF2	0.0062	0.0366	0.0304	Adipocyte_cells_Cyp2e1,Lymphatic_vessel_endothelial_cells,White_blood_cells,Lung_and_airway,Endocardial_cells
Adipocyte_cells_Cyp2e1	1	NFIL3	0.0145	0.0500	0.0355	Adipocyte_cells,Lymphatic_vessel_endothelial_cells,White_blood_cells,Lung_and_airway,Hepatocytes
Adipocyte_cells_Cyp2e1	2	KLF15	0.0136	0.0506	0.0370	Adipocyte_cells,Lymphatic_vessel_endothelial_cells,White_blood_cells,Lung_and_airway,Hepatocytes
Adipocyte_cells_Cyp2e1	3	CEBPB	0.0105	0.0469	0.0364	Adipocyte_cells,Lymphatic_vessel_endothelial_cells,White_blood_cells,Lung_and_airway,Hepatocytes
Adipocyte_cells_Cyp2e1	4	ZNF589	0.0099	0.0456	0.0357	Adipocyte_cells,Lymphatic_vessel_endothelial_cells,White_blood_cells,Lung_and_airway,Hepatocytes
Adipocyte_cells_Cyp2e1	5	CEBPG	0.0094	0.0431	0.0337	Adipocyte_cells,Lymphatic_vessel_endothelial_cells,White_blood_cells,Lung_and_airway,Hepatocytes
Adipocyte_cells_Cyp2e1	6	FOSL2	0.0080	0.0418	0.0337	Adipocyte_cells,Lymphatic_vessel_endothelial_cells,White_blood_cells,Lung_and_airway,Hepatocytes
Adipocyte_cells_Cyp2e1	7	MEOX2	0.0079	0.0385	0.0307	Adipocyte_cells,Lymphatic_vessel_endothelial_cells,White_blood_cells,Lung_and_airway,Hepatocytes
Adipocyte_cells_Cyp2e1	8	HSFX1	0.0065	0.0404	0.0339	Adipocyte_cells,Lymphatic_vessel_endothelial_cells,White_blood_cells,Lung_and_airway,Hepatocytes
Adipocyte_cells_Cyp2e1	9	SCRT1	0.0062	0.0397	0.0335	Adipocyte_cells,Lymphatic_vessel_endothelial_cells,White_blood_cells,Lung_and_airway,Hepatocytes
Adipocyte_cells_Cyp2e1	10	ZNF835	0.0061	0.0382	0.0321	Adipocyte_cells,Lymphatic_vessel_endothelial_cells,White_blood_cells,Lung_and_airway,Hepatocytes
B_cells	1	MEF2D	0.0102	0.0397	0.0295	T_cells,White_blood_cells,Lymphatic_vessel_endothelial_cells,Glomerular_endothelial_cells,Liver_sinusoidal_endothelial_cells
B_cells	2	HMG20A	-0.0018	0.0251	0.0269	T_cells,White_blood_cells,Lymphatic_vessel_endothelial_cells,Glomerular_endothelial_cells,Liver_sinusoidal_endothelial_cells
