cell_type	rank	tf_symbol	rank_score	argmax_frac	mean_tau	mean_frac_in	mean_signal	n_species_with_data	n_species_total
Adipocyte_cells	1	KLF15	0.0450	0.0667	0.4590	0.0450	0.0450	30	30
Adipocyte_cells	2	NFIL3	0.0435	0.0000	0.4394	0.0435	0.0435	30	30
Adipocyte_cells	3	KLF11	0.0427	0.0333	0.4266	0.0427	0.0427	30	30
Adipocyte_cells	4	CENPA	0.0421	0.0000	0.4538	0.0421	0.0421	30	30
Adipocyte_cells	5	CEBPB	0.0419	0.0000	0.4282	0.0419	0.0419	30	30
Adipocyte_cells	6	PPARG	0.0417	0.0000	0.4473	0.0417	0.0417	30	30
Adipocyte_cells	7	ZNF589	0.0410	0.0333	0.4549	0.0410	0.0410	30	30
Adipocyte_cells	8	SOX5	0.0400	0.0000	0.4730	0.0400	0.0400	30	30
Adipocyte_cells	9	HSFX1	0.0396	0.0667	0.4848	0.0396	0.0396	30	30
Adipocyte_cells	10	MXD3	0.0386	0.0333	0.4143	0.0386	0.0386	30	30
Adipocyte_cells_Cyp2e1	1	KLF15	0.0470	0.1333	0.4590	0.0470	0.0470	30	30
Adipocyte_cells_Cyp2e1	2	NFIL3	0.0461	0.1333	0.4394	0.0461	0.0461	30	30
Adipocyte_cells_Cyp2e1	3	CEBPB	0.0424	0.0000	0.4282	0.0424	0.0424	30	30
Adipocyte_cells_Cyp2e1	4	ZNF589	0.0420	0.0333	0.4549	0.0420	0.0420	30	30
Adipocyte_cells_Cyp2e1	5	PPARG	0.0399	0.0000	0.4473	0.0399	0.0399	30	30
Adipocyte_cells_Cyp2e1	6	CEBPG	0.0396	0.0000	0.4606	0.0396	0.0396	30	30
Adipocyte_cells_Cyp2e1	7	FOSL2	0.0392	0.0000	0.4403	0.0392	0.0392	30	30
Adipocyte_cells_Cyp2e1	8	KLF11	0.0392	0.0000	0.4266	0.0392	0.0392	30	30
Adipocyte_cells_Cyp2e1	9	SCRT1	0.0389	0.0333	0.4302	0.0389	0.0389	30	30
Adipocyte_cells_Cyp2e1	10	ZNF717	0.0388	0.1071	0.5488	0.0388	0.0388	28	28
B_cells	1	MEF2D	0.0306	0.0000	0.4351	0.0306	0.0306	30	30
B_cells	2	GFI1	0.0258	0.0000	0.4717	0.0258	0.0258	30	30
B_cells	3	IKZF1	0.0246	0.0000	0.4899	0.0246	0.0246	30	30
B_cells	4	PAX5	0.0242	0.0000	0.4929	0.0242	0.0242	30	30
B_cells	5	ELF4	0.0239	0.0000	0.4136	0.0239	0.0239	30	30
B_cells	6	ZNF333	0.0229	0.0000	0.4359	0.0229	0.0229	30	30
B_cells	7	USF1	0.0226	0.0000	0.5024	0.0226	0.0226	30	30
B_cells	8	SPI1	0.0226	0.0000	0.4195	0.0226	0.0226	30	30
B_cells	9	PPARD	0.0223	0.0000	0.4146	0.0223	0.0223	30	30
B_cells	10	KLF2	0.0222	0.0000	0.3993	0.0222	0.0222	30	30
Brain_capillary_endothelial_cells	1	PBX2	0.0357	0.0000	0.4613	0.0357	0.0357	28	28
Brain_capillary_endothelial_cells	2	ZNF91	0.0318	0.0333	0.5050	0.0318	0.0318	30	30
Brain_capillary_endothelial_cells	3	ZNF30	0.0317	0.0000	0.4294	0.0317	0.0317	30	30
Brain_capillary_endothelial_cells	4	BCL6B	0.0312	0.0000	0.3911	0.0312	0.0312	30	30
Brain_capillary_endothelial_cells	5	SOX13	0.0310	0.0000	0.4345	0.0310	0.0310	30	30
Brain_capillary_endothelial_cells	6	ZNF792	0.0309	0.0000	0.3991	0.0309	0.0309	30	30
Brain_capillary_endothelial_cells	7	TCF15	0.0306	0.0000	0.4324	0.0306	0.0306	30	30
Brain_capillary_endothelial_cells	8	ELK3	0.0302	0.0000	0.4331	0.0302	0.0302	30	30
Brain_capillary_endothelial_cells	9	ATF6B	0.0294	0.0000	0.4225	0.0294	0.0294	30	30
Brain_capillary_endothelial_cells	10	TEAD4	0.0291	0.0000	0.4060	0.0291	0.0291	30	30
CNS_neurons	1	UNCX	0.0806	0.8966	0.6302	0.0806	0.0806	29	29
CNS_neurons	2	FOXR1	0.0724	0.9667	0.5829	0.0724	0.0724	30	30
CNS_neurons	3	NPAS4	0.0684	0.8000	0.5730	0.0684	0.0684	30	30
CNS_neurons	4	SHOX	0.0681	0.3200	0.5805	0.0681	0.0681	25	25
CNS_neurons	5	LHX5	0.0674	0.8333	0.5511	0.0674	0.0674	30	30
CNS_neurons	6	MYCL	0.0670	0.9000	0.5475	0.0670	0.0670	30	30
