gene_symbol	ensembl_id	chrom	tss	strand	biotype	start	end
HES4	ENSG00000188290	chr1	1000172	-	protein_coding	998962	1000172
SKI	ENSG00000157933	chr1	2227388	+	protein_coding	2227388	2310213
HES5	ENSG00000197921	chr1	2530263	-	protein_coding	2528745	2530263
PRDM16	ENSG00000142611	chr1	3069168	+	protein_coding	3069168	3438621
TP73	ENSG00000078900	chr1	3652516	+	protein_coding	3652516	3736201
HES3	ENSG00000173673	chr1	6244179	+	protein_coding	6244179	6245578
HES2	ENSG00000069812	chr1	6424690	-	protein_coding	6412418	6424690
ZBTB48	ENSG00000204859	chr1	6579994	+	protein_coding	6579994	6589280
THAP3	ENSG00000041988	chr1	6624845	+	protein_coding	6624845	6635586
CAMTA1	ENSG00000171735	chr1	6785454	+	protein_coding	6785454	7769706
CENPS	ENSG00000175279	chr1	10430433	+	protein_coding	10430433	10442808
CASZ1	ENSG00000130940	chr1	10796650	-	protein_coding	10636604	10796650
PRDM2	ENSG00000116731	chr1	13700188	+	protein_coding	13700188	13825079
SPEN	ENSG00000065526	chr1	15836095	+	protein_coding	15836095	15940456
ZBTB17	ENSG00000116809	chr1	15976132	-	protein_coding	15940403	15976132
PAX7	ENSG00000009709	chr1	18630846	+	protein_coding	18630846	18748876
ZBTB40	ENSG00000184677	chr1	22428838	+	protein_coding	22428838	22531157
ZNF436	ENSG00000125945	chr1	23369836	-	protein_coding	23359448	23369836
E2F2	ENSG00000007968	chr1	23531233	-	protein_coding	23506438	23531233
GRHL3	ENSG00000158055	chr1	24199558	+	protein_coding	24199558	24364482
RUNX3	ENSG00000020633	chr1	24965121	-	protein_coding	24899511	24965121
ZNF683	ENSG00000176083	chr1	26374522	-	protein_coding	26361634	26374522
LIN28A	ENSG00000131914	chr1	26410817	+	protein_coding	26410817	26429728
AHDC1	ENSG00000126705	chr1	27604431	-	protein_coding	27534035	27604431
GMEB1	ENSG00000162419	chr1	28668280	+	protein_coding	28668280	28719353
ZBTB8B	ENSG00000273274	chr1	32465050	+	protein_coding	32465050	32496686
ZBTB8A	ENSG00000160062	chr1	32539142	+	protein_coding	32539142	32605941
ZNF362	ENSG00000160094	chr1	33256359	+	protein_coding	33256359	33300719
ZSCAN20	ENSG00000121903	chr1	33472597	+	protein_coding	33472597	33501643
TFAP2E	ENSG00000116819	chr1	35573314	+	protein_coding	35573314	35595328
MTF1	ENSG00000188786	chr1	37859614	-	protein_coding	37809574	37859614
POU3F1	ENSG00000185668	chr1	38046793	-	protein_coding	38043829	38046793
HEYL	ENSG00000163909	chr1	39639643	-	protein_coding	39623435	39639643
MYCL	ENSG00000116990	chr1	39902256	-	protein_coding	39895428	39902256
RLF	ENSG00000117000	chr1	40161387	+	protein_coding	40161387	40240921
ZFP69B	ENSG00000187801	chr1	40450053	+	protein_coding	40450053	40464142
ZFP69	ENSG00000187815	chr1	40477233	+	protein_coding	40477233	40496530
ZNF684	ENSG00000117010	chr1	40531573	+	protein_coding	40531573	40548168
NFYC	ENSG00000066136	chr1	40691570	+	protein_coding	40691570	40771606
SCMH1	ENSG00000010803	chr1	41242306	-	protein_coding	41027202	41242306
FOXO6	ENSG00000204060	chr1	41361922	+	protein_coding	41361922	41383590
HIVEP3	ENSG00000127124	chr1	42035925	-	protein_coding	41506365	42035925
FOXJ3	ENSG00000198815	chr1	42335913	-	protein_coding	42176535	42335913
YBX1	ENSG00000065978	chr1	42682408	+	protein_coding	42682408	42703805
ZNF691	ENSG00000164011	chr1	42846573	+	protein_coding	42846573	42852477
KLF17	ENSG00000171872	chr1	44118821	+	protein_coding	44118821	44135140
CCDC17	ENSG00000159588	chr1	45624058	-	protein_coding	45620044	45624058
GPBP1L1	ENSG00000159592	chr1	45688408	-	protein_coding	45627284	45688408
DMBX1	ENSG00000197587	chr1	46489822	+	protein_coding	46489822	46516218
TAL1	ENSG00000162367	chr1	47232225	-	protein_coding	47216290	47232225
FOXE3	ENSG00000186790	chr1	47416285	+	protein_coding	47416285	47418052
FOXD2	ENSG00000186564	chr1	47438044	+	protein_coding	47438044	47440691
DMRTA2	ENSG00000142700	chr1	50423468	-	protein_coding	50417550	50423468
DMRTB1	ENSG00000143006	chr1	53459399	+	protein_coding	53459399	53467488
GLIS1	ENSG00000174332	chr1	53739164	-	protein_coding	53506232	53739164
MYSM1	ENSG00000162601	chr1	58700090	-	protein_coding	58643440	58700090
JUN	ENSG00000177606	chr1	58784048	-	protein_coding	58776845	58784048
NFIA	ENSG00000162599	chr1	60865259	+	protein_coding	60865259	61462788
FOXD3	ENSG00000187140	chr1	63322567	+	protein_coding	63322567	63325128
LHX8	ENSG00000162624	chr1	75128434	+	protein_coding	75128434	75161533
ZZZ3	ENSG00000036549	chr1	77683422	-	protein_coding	77562416	77683422
GTF2B	ENSG00000137947	chr1	88891944	-	protein_coding	88852633	88891944
ZNF326	ENSG00000162664	chr1	89995110	+	protein_coding	89995110	90035533
BARHL2	ENSG00000143032	chr1	90717302	-	protein_coding	90711539	90717302
ZNF644	ENSG00000122482	chr1	91022376	-	protein_coding	90915298	91022376
GFI1	ENSG00000162676	chr1	92486925	-	protein_coding	92472360	92486925
MTF2	ENSG00000143033	chr1	93079235	+	protein_coding	93079235	93139079
DR1	ENSG00000117505	chr1	93345907	+	protein_coding	93345907	93369493
ALX3	ENSG00000156150	chr1	110070672	-	protein_coding	110059870	110070672
NHLH2	ENSG00000177551	chr1	115843917	-	protein_coding	115836377	115843917
TBX15	ENSG00000092607	chr1	118989556	-	protein_coding	118883046	118989556
ZNF697	ENSG00000143067	chr1	119648454	-	protein_coding	119619377	119648454
ARNT	ENSG00000143437	chr1	150876771	-	protein_coding	150808617	150876771
SETDB1	ENSG00000143379	chr1	150926263	+	protein_coding	150926263	150964744
ZNF687	ENSG00000143373	chr1	151281502	+	protein_coding	151281502	151292180
RFX5	ENSG00000143390	chr1	151347339	-	protein_coding	151340640	151347339
RORC	ENSG00000143365	chr1	151831845	-	protein_coding	151806071	151831845
GATAD2B	ENSG00000143614	chr1	153923360	-	protein_coding	153789030	153923360
CREB3L4	ENSG00000143578	chr1	153963719	+	protein_coding	153963719	153974364
ZBTB7B	ENSG00000160685	chr1	155002543	+	protein_coding	155002543	155018525
ASH1L	ENSG00000116539	chr1	155563162	-	protein_coding	155335268	155563162
GLMP	ENSG00000198715	chr1	156295689	-	protein_coding	156290089	156295689
MEF2D	ENSG00000116604	chr1	156501266	-	protein_coding	156463727	156501266
ETV3L	ENSG00000253831	chr1	157117877	-	protein_coding	157092043	157117877
ETV3	ENSG00000117036	chr1	157138474	-	protein_coding	157121191	157138474
NHLH1	ENSG00000171786	chr1	160367071	+	protein_coding	160367071	160372846
USF1	ENSG00000158773	chr1	161045977	-	protein_coding	161039249	161045977
NR1I3	ENSG00000143257	chr1	161238262	-	protein_coding	161229666	161238262
ATF6	ENSG00000118217	chr1	161766261	+	protein_coding	161766261	161977574
PBX1	ENSG00000185630	chr1	164555584	+	protein_coding	164555584	164899296
LMX1A	ENSG00000162761	chr1	165356715	-	protein_coding	165201867	165356715
RXRG	ENSG00000143171	chr1	165445355	-	protein_coding	165400922	165445355
POGK	ENSG00000143157	chr1	166839314	+	protein_coding	166839314	166860347
POU2F1	ENSG00000143190	chr1	167220876	+	protein_coding	167220876	167427345
TBX19	ENSG00000143178	chr1	168280877	+	protein_coding	168280877	168314426
PRRX1	ENSG00000116132	chr1	170662728	+	protein_coding	170662728	170739421
ZBTB37	ENSG00000185278	chr1	173868082	+	protein_coding	173868082	173903547
LHX4	ENSG00000121454	chr1	180230188	+	protein_coding	180230188	180278984
ZNF648	ENSG00000179930	chr1	182061712	-	protein_coding	182054570	182061712
ZBTB41	ENSG00000177888	chr1	197201449	-	protein_coding	197153682	197201449
LHX9	ENSG00000143355	chr1	197911902	+	protein_coding	197911902	197935478
NR5A2	ENSG00000116833	chr1	200027597	+	protein_coding	200027597	200177420
ZNF281	ENSG00000162702	chr1	200410056	-	protein_coding	200404940	200410056
ASCL5	ENSG00000232237	chr1	201127184	-	protein_coding	201113943	201127184
ELF3	ENSG00000163435	chr1	202007945	+	protein_coding	202007945	202017183
KDM5B	ENSG00000117139	chr1	202808487	-	protein_coding	202724495	202808487
MYOG	ENSG00000122180	chr1	203086013	-	protein_coding	203083129	203086013
ZBED6	ENSG00000257315	chr1	203795623	+	protein_coding	203795623	203854124
SOX13	ENSG00000143842	chr1	204073111	+	protein_coding	204073111	204127743
ELK4	ENSG00000158711	chr1	205634520	-	protein_coding	205597556	205634520
IRF6	ENSG00000117595	chr1	209806217	-	protein_coding	209785254	209806217
ATF3	ENSG00000162772	chr1	212565334	+	protein_coding	212565334	212620777
